simulation_time,risk_level,vehicle_1,vehicle_2,action,priority_vehicle_id,yielding_vehicle_id,reservation_queue,conflict_group_vehicle_ids,predicted_arrival_time_s,conflict_zone_vehicle_ids,target_speed_mps,release_reason,note
70.50,HIGH,targeted_vehicle_010,targeted_vehicle_011,RELEASE_NEXT_VEHICLE,targeted_vehicle_010,targeted_vehicle_010,targeted_vehicle_010,targeted_vehicle_010;targeted_vehicle_011,72.00,,,priority_cleared_clear_zone,Priority vehicle cleared the target conflict/clear zone.
70.50,HIGH,targeted_vehicle_010,targeted_vehicle_011,RELEASE_NEXT_VEHICLE,targeted_vehicle_010,targeted_vehicle_010,targeted_vehicle_010;targeted_vehicle_011,targeted_vehicle_010;targeted_vehicle_011,72.00,,,fcfs_priority_assigned,Released priority vehicle matching earliest expected arrival time.
70.60,HIGH,targeted_vehicle_010,targeted_vehicle_011,RELEASE_NEXT_VEHICLE,targeted_vehicle_010,targeted_vehicle_010,targeted_vehicle_010,targeted_vehicle_010;targeted_vehicle_011,72.00,,,priority_cleared_clear_zone,Priority vehicle cleared the target conflict/clear zone.
70.60,HIGH,targeted_vehicle_010,targeted_vehicle_011,RELEASE_NEXT_VEHICLE,targeted_vehicle_010,targeted_vehicle_010,targeted_vehicle_010;targeted_vehicle_011,targeted_vehicle_010;targeted_vehicle_011,72.00,,,fcfs_priority_assigned,Released priority vehicle matching earliest expected arrival time.
70.70,HIGH,targeted_vehicle_010,targeted_vehicle_011,RELEASE_NEXT_VEHICLE,targeted_vehicle_010,targeted_vehicle_010,targeted_vehicle_010,targeted_vehicle_010;targeted_vehicle_011,72.00,,,priority_cleared_clear_zone,Priority vehicle cleared the target conflict/clear zone.
70.70,HIGH,targeted_vehicle_010,targeted_vehicle_011,RELEASE_NEXT_VEHICLE,targeted_vehicle_010,targeted_vehicle_010,targeted_vehicle_010;targeted_vehicle_011,targeted_vehicle_010;targeted_vehicle_011,72.00,,,fcfs_priority_assigned,Released priority vehicle matching earliest expected arrival time.
71.00,HIGH,targeted_vehicle_010,targeted_vehicle_011,SLOW_NEAR_ENTRY,targeted_vehicle_010,targeted_vehicle_011,targeted_vehicle_010;targeted_vehicle_011,targeted_vehicle_010;targeted_vehicle_011,72.00,targeted_vehicle_010,0.30,conflict_zone_occupied,Vehicle held at stop line for target-junction reservation: final_brake_before_guard entry_distance_m=12.0 hold_distance_m=12.5 speed_mps=1.95 target_speed_mps=0.30 duration_s=0.40.
71.70,HIGH,targeted_vehicle_010,targeted_vehicle_011,WAIT_AT_STOP_ZONE,targeted_vehicle_010,targeted_vehicle_011,targeted_vehicle_010;targeted_vehicle_011,targeted_vehicle_010;targeted_vehicle_011,72.00,targeted_vehicle_010,0.00,conflict_zone_occupied,Vehicle held at stop line for target-junction reservation: wait_near_junction_entry entry_distance_m=11.3 hold_distance_m=12.5 speed_mps=0.65.
72.40,HIGH,targeted_vehicle_010,targeted_vehicle_011,RELEASE_NEXT_VEHICLE,targeted_vehicle_010,targeted_vehicle_010,targeted_vehicle_010,targeted_vehicle_011,,,,priority_cleared_clear_zone,Priority vehicle cleared the target conflict/clear zone.
72.40,HIGH,targeted_vehicle_010,targeted_vehicle_011,RELEASE_NEXT_VEHICLE,targeted_vehicle_011,targeted_vehicle_011,targeted_vehicle_011,targeted_vehicle_011,72.00,,,fcfs_priority_assigned,Released priority vehicle matching earliest expected arrival time.
